lolo = {
	yi = { #placeholder
		male_names = { "Aung" "Aung Mran" "Aung Krein" "Aung Main" "Aung Naing" "Aung Tain" "Aung Than" "Aung Thein" "Aung U" "Aung Wain" "Aye" "Aye Ko" "Aye Maung"
		"Hla Aung" "Hla Maung" "Hla Myint" "Hla Shwe" "Hla Than" "Hla Thien" "Hla Tun" "Hla Win" "Htay Aung" "Htay Are" "Htay Min" "Htay Win"
		"Khain Aung" "Khain Maung" "Khain Maung Aye" "Khain Maung Mrant" "Khain Maung U" "Khain Maung Than" "Khain Maung Win" "Khain Min" "Kraw Aung" "Kraw Mrint" "Kraw Nyunt" "Kraw Than" "Kraw Thien" "Kri" "Kri Win"
		"Maung Maung" "Maung Maung Aye" "Maung Wain" "Mrant" "Mrant Aung" "Mrant Lwin" "Mrant U" "Mrant Swe" "Mrant Thien" "Mran Soe" "Mro Aung" "Mro Mrant" "Mro Win" "Mrant Than"
		"Nay Wain" "Nay Hla"
		"San Aung" "San Lwin" "San Main" "San Mrant" "San Wain" "Sein Mrant" "Sei Wain" "Soe Lwin" "Soe Mrant" "Soe Naing" "Soe Thein" "Soe Tint" "Soe Win"
		"Than" "Than Mrant" "Than Shwe" "Than Tun" "Than U" "Than Win" "Thant Zin" "Thein Han" "Thein Lwin" "Thein Myint" "Thein Tun" "Thein Win" "Tain Aung" "Tain Aye" "Tain Maung" "Tain Myint" "Tain Shwe" "Tain Soe" "Tain Tun" "Tain U" "Tain Win" "Tint Lwin" "Tun Aung" "Tun Myint" "Tun Shwe"
		"Win Aung" "Win Kri" "Win Mrant" "Win Naing"
		"Re Mrant"
		"Zaw Main" "Zaw Wain" "Zaw U"
		}
		
		female_names = { "Ah Mar" "Aye" "Aye Aye" "Aye Aye Khiang" "Aye Aye Maw" "Aye Aye Mrant" "Aye Aye Than" "Aye Kri" "Aye Than"
		"Cho Cho" "Cho Cho Win" 
		"Hla Hla" "Hla Hla Mrant" "Hla Hla Wain" "Hla Kri" "Hla Mrant" "Htay Htay" "Htay Htay Wain"
		"Khain Aye" "Khain Aye Mrant" "Khain Hla" "Khain Htwe" "Khain Khain" "Khain Khain Wain" "Khain Khain Aye" "Khin Khin Aye" "Khain Kri" "Khain Ma Ma" "Khain Mrant" "Khain Nyunt" "Khain Ohn Mrant" "Khain Sein" "Khain San" "Khain Shwe" "Khain Than" "Khain Wain" "Khain Wain Kri" "Khin Rai"
		"Kri" "Kri Kri" "Kri Kri Aye" "Kri Kri Wain"
		"Ma" "Mra" "Mra Mra" "Mra Mra Wain" "Mra Sien" "Mra Than" "Mrant" "Mrant Mrant Aye" "Mrant Mrant Kyi" "Mrant Mrant Khaing" "Mrant Mrant Wain" "Mrant Mrant San" "Mrant Mrant Sien"
		"Ni Ni" "Ni Ni Wain" "Nu Nu" "Nwe Nwe Win" "Nro Nro" "Nyunt Wain"
		"Ohn Kri" "Ohn Mrant" "Ohn Wain"
		"Phru Mrant" "Phru Phru" "Phru Phru Wain"
		"San" "San Mrant" "San San" "San San Aye" "San San Htay" "San San Mrant" "San San Wain" "Shwe Wain" "Sein Sein"
		"Than Than Aye" "Than Than Htay" "Than Than Mrant" "Than Than Nwe" "Than Than Wain" "Thida" "Tain Aye" "Tain Mrant" "Tain Shwe" "Tain Tain" "Tain Tain Aye" "Tain Tain Hla" "Tain Tain Mrant" "Tain Tain Wain"
		"Wain Kri" "Wain Sein" "Wain Aye"
		"Rai" "Rai Aye" "Rai Rai" "Rai Rai Mrant" "Rai Rai Wain" "Rain Rain"
		}
		
		from_dynasty_prefix = ""

		pat_grf_name_chance = 0
		mat_grf_name_chance = 0
		father_name_chance = 0
		
		pat_grm_name_chance = 0
		mat_grm_name_chance = 0
		mother_name_chance = 0
		
		used_for_random = no

		modifier = default_culture_modifier
	}
}
